Source,delta,radius,k0,gamma,e_cut,beta,type
RX J1713.7-3946,-39.77,0.6,0.89,2.06,8.04,1,SNR
Vela X,-45.6,0.8,0.72,1.36,7,1,PWN
Vela Jr,-46.36,1,1.3,1.87,4.5,1,SNR
HESS J1614-518 (1),-51.82,0.42,0.26,2.42,1.00E+12,2,SNR
HESS J1614-518 (2),-51.82,0.42,0.51,2,3.71,0.5,SNR
Galactic center,-28.87,0.45,0.25,2.3,85.53,0.5,UNID
MGRO J1908+06 (1),6.27,0.34,0.18,2,17.7,0.5,UNID
MGRO J1908+06 (2),6.27,0.34,0.16,2,177,0.5,UNID
MGRO J1908+06 (3),6.27,0.34,0.16,2,472,0.5,UNID
NGC 1068,0,0,5,3.2,1.00E+12,2,Active Galaxy
TXS 0506++056,0,0,0.09,2.1,1.00E+12,2,Blazar
